"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_TM_2440";"57";"53.7";"7.8";"108.8"
"ITA17_TM_2440";"58";"53.7";"14.6";"108.8"
"ITA17_TM_2440";"59";"53.7";"13.5";"108.8"
"ITA17_TM_2440";"60";"53.7";"12.8";"108.8"
"ITA17_TM_2440";"61";"46";"17.4";"109.2"
"ITA17_TM_2440";"62";"46";"13.6";"109.2"
"ITA17_TM_2440";"63";"46";"14.9";"109.2"
"ITA17_TM_2440";"64";"46";"15.3";"109.2"
"ITA17_TM_2440";"65";"46";"17.2";"109.2"
"ITA17_TM_2440";"66";"46";"16.1";"109.2"
"ITA17_TM_2440";"67";"46";"15.3";"109.2"
"ITA17_TM_2440";"68";"46";"0.1";"109.2"
"ITA17_TM_2440";"69";"46";"10.2";"109.2"
"ITA17_TM_2440";"70";"46";"16.5";"109.2"
"ITA17_TM_2440";"71";"46";"15.1";"109.2"
"ITA17_TM_2440";"72";"46";"15.2";"109.2"
"ITA17_TM_2440";"73";"42.00000002";"14.64285714";"109.4285714"
"ITA17_TM_2440";"74";"42.00000002";"14.71428571";"109.4285714"
"ITA17_TM_2440";"75";"42.00000002";"15.42047618";"109.4285714"
"ITA17_TM_2440";"76";"42.00000002";"14.07928571";"109.4285714"
"ITA17_TM_2440";"77";"42.00000002";"15.99999999";"109.4285714"
"ITA17_TM_2440";"78";"42.00000002";"15.26190476";"109.4285714"
"ITA17_TM_2440";"79";"42.00000002";"16.66666666";"109.4285714"
"ITA17_TM_2440";"80";"42.00000002";"2.166666666";"109.4285714"
"ITA17_TM_2440";"81";"42.00000002";"8.047619044";"109.4285714"
"ITA17_TM_2440";"82";"42.00000002";"14.78571428";"109.4285714"
"ITA17_TM_2440";"83";"42.00000002";"14.61904761";"109.4285714"
"ITA17_TM_2440";"84";"42.00000002";"12.73809523";"109.4285714"
"ITA17_PS_2440";"0";"20.7";"5.9";"105.4"
"ITA17_PS_2440";"1";"20.7";"5.9";"105.4"
"ITA17_PS_2440";"2";"20.7";"4.4";"105.4"
"ITA17_PS_2440";"3";"20.7";"4.1";"105.4"
