year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2012;Oct;70;7;400;-1;-1;2;DTS_VL1218
2012;Nov;70;7;400;-1;-1;2;DTS_VL1218
2012;Dec;70;7;400;-1;-1;2;DTS_VL1218
2013;Jan;80;7;400;-1;-1;2;DTS_VL1218
2013;Feb;80;7;400;-1;-1;2;DTS_VL1218
2013;Mar;80;7;400;-1;-1;2;DTS_VL1218
2013;Apr;80;7;400;-1;-1;2;DTS_VL1218
2013;May;80;7;400;-1;-1;2;DTS_VL1218
2013;Jun;80;7;400;-1;-1;2;DTS_VL1218
2013;Jul;80;7;400;-1;-1;2;DTS_VL1218
2013;Aug;80;7;400;-1;-1;2;DTS_VL1218
2013;Set;80;7;400;-1;-1;2;DTS_VL1218
2013;Oct;80;7;400;-1;-1;2;DTS_VL1218
2013;Nov;80;7;400;-1;-1;2;DTS_VL1218
2013;Dec;80;7;400;-1;-1;2;DTS_VL1218
2014;Jan;70;7;400;-1;-1;2;DTS_VL1218
2014;Feb;70;7;400;-1;-1;2;DTS_VL1218
2014;Mar;70;7;400;-1;-1;2;DTS_VL1218
2014;Apr;70;7;400;-1;-1;2;DTS_VL1218
2014;May;70;7;400;-1;-1;2;DTS_VL1218
2014;Jun;70;7;400;-1;-1;2;DTS_VL1218
2014;Jul;70;7;400;-1;-1;2;DTS_VL1218
2014;Aug;70;7;400;-1;-1;2;DTS_VL1218
2014;Set;70;7;400;-1;-1;2;DTS_VL1218
2014;Oct;70;7;400;-1;-1;2;DTS_VL1218
2014;Nov;70;7;400;-1;-1;2;DTS_VL1218
2014;Dec;70;7;400;-1;-1;2;DTS_VL1218
2015;Jan;70;7;400;-1;-1;2;DTS_VL1218
2015;Feb;70;7;400;-1;-1;2;DTS_VL1218
2015;Mar;70;7;400;-1;-1;2;DTS_VL1218
2015;Apr;70;7;400;-1;-1;2;DTS_VL1218
2015;May;70;7;400;-1;-1;2;DTS_VL1218
2015;Jun;70;7;400;-1;-1;2;DTS_VL1218
2015;Jul;70;7;400;-1;-1;2;DTS_VL1218
2015;Aug;70;7;400;-1;-1;2;DTS_VL1218
2015;Set;70;7;400;-1;-1;2;DTS_VL1218
2015;Oct;70;7;400;-1;-1;2;DTS_VL1218
2015;Nov;70;7;400;-1;-1;2;DTS_VL1218
2015;Dec;70;7;400;-1;-1;2;DTS_VL1218
2016;Jan;80;7;400;-1;-1;2;DTS_VL1218
2016;Feb;80;7;400;-1;-1;2;DTS_VL1218
2016;Mar;80;7;400;-1;-1;2;DTS_VL1218
2016;Apr;80;7;400;-1;-1;2;DTS_VL1218
2016;May;80;7;400;-1;-1;2;DTS_VL1218
2016;Jun;80;7;400;-1;-1;2;DTS_VL1218
2016;Jul;80;7;400;-1;-1;2;DTS_VL1218
2016;Aug;80;7;400;-1;-1;2;DTS_VL1218
2016;Set;80;7;400;-1;-1;2;DTS_VL1218
2016;Oct;80;7;400;-1;-1;2;DTS_VL1218
2016;Nov;80;7;400;-1;-1;2;DTS_VL1218
2016;Dec;80;7;400;-1;-1;2;DTS_VL1218
