FS;country code;country name;year;quarter;vessel length;fishing technique;gear type;target assemblage;mesh size range;metier;supra-region;sub-region;EEZ indicator;geo indicator;Nephrops sub-region;specon tech;deep;species;total live weight landed (tonnes);total value of landings (euro);total discards (tonnes);confidential
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;AMB;3.138;24337.65;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;AMB;9.107;73641.5;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;AMB;0.9;8551.05;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;AMB;0.797;7072.75;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANE;76.36;141853.85;238.99;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANE;86.46;140647.31;270.63;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANE;48.58;88775.25;152.07;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANE;127.88;154445.67;400.27;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANK;194.2;1141977.319;13.59;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANK;224.57;1248272.933;15.72;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANK;164.88;1176447.802;11.54;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ANK;143.65;1105249.449;10.06;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARS;0.015;290.04;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARS;0.005;138.75;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARS;0.008;219.87;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARY;11.271;41027.43;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARY;6.661;30760.58;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARY;5.92;32256.75;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;ARY;6.114;27885.34;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BAS;19.074;62521.19;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BAS;20.198;48160.44;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BAS;19.323;56349.46;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BAS;27.841;70358.44;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BGR;0.039;30.39;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BGR;0.05;34.99;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BGR;0.421;260.51;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BGR;0.785;360.73;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLI;0.084;122.05;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLI;0.302;214.58;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLI;0.059;152.53;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLI;0.092;249.78;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.553;13457.61;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;1.339;31505.91;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.733;16121.62;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLL;0.486;10778.42;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLT;0.322;904.93;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLT;0.023;62.66;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLT;1.451;2692.7;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLT;0.052;72.33;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLU;13.16;29077.37;NK;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLU;2.987;8399.5;NK;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLU;1.699;5125.64;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BLU;1.174;3533.16;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOG;86.6;44618.61;1078.11;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOG;20.08;12372.85;249.98;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOG;12.1;7644.87;150.64;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOG;76.87;49159.96;957.09;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BON;0.55;3636.96;0;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BON;0.19;1287.07;0;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BON;2.98;12275.25;0;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BON;0.41;2093.6;0;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOY;0.002;14.22;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BOY;0.007;48.8;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BPI;5.32;3240.18;53.18;N
;ESP;Spain;2015;1;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BPI;3.18;1911.01;31.78;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BPI;1.57;668.85;15.75;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BPI;0.52;329.32;5.16;N
;ESP;Spain;2015;3;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BRB;0.19;957.88;NK;N
;ESP;Spain;2015;4;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BRB;0.791;2004.45;NK;N
;ESP;Spain;2015;2;NK;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;BRB;1.37;4202.79;NK;N
