FS;Year;Month;GT;Unit;Source;;;;;;
EmiliaRomagna_DTS;2016;0;3641;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2017;0;3720;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2018;0;3646;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2005;0;1224;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2006;0;1127;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2007;0;1034;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2008;0;690;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2009;0;707;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2010;0;705;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2011;0;1064;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2012;0;1003;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2013;0;983;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2014;0;957;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2015;0;903;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2016;0;908;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2017;0;869;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2018;0;789;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2005;0;1159;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2006;0;1082;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2007;0;720;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2008;0;720;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2009;0;703;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2010;0;574;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2011;0;457;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2012;0;386;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2013;0;386;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2014;0;329;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
