FS;Year;Month;Land;Unit;Source
Abruzzo_PGP;2008;6;3.65755;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;7;9.51097;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;8;7.79671;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;9;4.96818;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;10;3.21588;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;11;2.59322;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2008;12;2.90028;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;1;0.17656;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;2;1.60661;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;3;2.21413;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;4;1.09121;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;5;1.95514;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;6;4.49216;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;7;6.84294;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;8;1.16119;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;9;0.80054;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;10;1.14089;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;11;0.14218;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2009;12;0.12516;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;1;0.48371;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;2;0.94047;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;3;0.72021;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;4;0.69915;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;5;0.57267;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;6;1.38678;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;7;6.67562;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;8;12.60396;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;9;6.85442;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;10;4.70408;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;11;0.57957;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2010;12;2.12418;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;1;3.6721;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;2;6.08061;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;3;5.30577;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;4;4.46091;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;5;28.80467;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;6;25.05113;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;7;3.89734;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;8;12.37096;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;9;3.41556;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;10;6.18507;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;11;12.03231;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2011;12;10.91412;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;1;0.63803;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;2;0.85597;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;3;1.45078;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;4;4.04992;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;5;3.75973;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;6;7.26505;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;7;6.87652;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;8;6.88471;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;9;2.23439;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;10;1.05603;tons;File MBL2 SOL.xlsx
