FS;Year;Month;KW;Unit;Source;;;;;;
EmiliaRomagna_TM;2016;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2017;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2017;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;4;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2005;0;4844.84;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2006;0;6226.99;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2007;0;5532.14;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2008;0;5532.14;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2009;0;5358.64;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2010;0;5358.67;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2011;0;5105.73;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2012;0;4162.28;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2013;0;3884.23;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2014;0;3369.43;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2015;0;2857.11;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2016;0;2919.37;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2017;0;3143.81;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2018;0;3138.01;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2005;0;12671.49;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2006;0;12685;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2007;0;12460.74;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2008;0;12406.36;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2009;0;12318.86;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2010;0;12285.16;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2011;0;11855.99;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2012;0;11660.16;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2013;0;11937.43;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2014;0;11684.9;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2015;0;11461.21;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2016;0;11414.4;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2017;0;11410.7;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2018;0;11900.1;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PS;2015;4;NA;TotalKW;;;;;;;
FriuliVeneziaGiulia_PS;2015;6;NA;TotalKW;;;;;;;
FriuliVeneziaGiulia_PS;2015;9;NA;TotalKW;;;;;;;
FriuliVeneziaGiulia_PS;2017;6;NA;TotalKW;;;;;;;
